Task,Priority,Tags,Created Date,Due Date,Alarm
Read book,High,Work,2023-09-28,2024-03-12,True
Work on project,Low,Work,2024-06-05,2024-07-21,True
Call plumber,Medium,Work,2024-02-01,2024-05-31,False
Work on project,Medium,Personal,2024-06-20,2024-11-02,True
Send emails,Medium,Work,2023-08-14,2023-09-22,True
Go to school,Low,Personal,2023-02-17,2024-07-21,False
Buy birthday gift,Low,Work,2024-01-30,2024-07-21,True
Attend seminar,High,Work,2023-07-04,2024-09-23,False
Schedule car service,Low,Personal,2023-08-01,2024-04-05,False
Organize desk,Medium,Work,2023-04-21,2024-05-21,False
Join gym session,Low,Work,2024-06-02,2024-06-25,False
Schedule car service,Medium,Personal,2023-03-18,2023-08-22,False
Read book,Medium,Personal,2024-04-16,2024-07-02,True
Work on project,Low,Work,2023-06-26,2024-02-18,True
Go to school,High,Work,2023-07-20,2024-01-07,True
Go to school,Medium,Personal,2023-09-04,2024-01-22,True
Work on project,High,Personal,2024-02-22,2024-08-21,True
Take stationary,Medium,Personal,2023-02-18,2024-07-07,False
Buy birthday gift,Medium,Work,2023-12-09,2024-03-04,False
Read book,Low,Personal,2024-02-01,2024-12-30,True
Book flight tickets,Low,Work,2023-08-02,2024-02-16,True
Plan weekend trip,Low,Personal,2023-09-21,2024-07-27,False
Organize desk,High,Personal,2023-01-22,2024-03-13,False
Complete meeting,Low,Personal,2024-03-14,2024-10-16,False
Schedule car service,Low,Work,2023-03-06,2024-10-02,True
Renew library membership,Medium,Work,2024-02-16,2024-12-02,True
Organize desk,High,Work,2023-07-15,2023-11-09,False
Schedule car service,Medium,Work,2024-08-31,2024-10-22,False
Attend seminar,Medium,Work,2023-10-10,2024-06-27,True
Take groceries,High,Work,2023-02-02,2023-05-26,True
Complete meeting,Medium,Personal,2024-01-22,2024-02-17,True
Take groceries,High,Work,2023-04-02,2023-04-15,False
Organize desk,Medium,Personal,2023-10-01,2024-11-24,True
Go to bank,Low,Work,2023-05-18,2024-04-10,True
Send emails,Low,Personal,2024-06-29,2024-08-14,False
Buy birthday gift,High,Work,2023-12-18,2024-01-23,False
Write report,Low,Personal,2023-03-18,2023-08-31,False
Schedule car service,High,Personal,2023-12-18,2024-06-05,True
Complete meeting,Low,Work,2024-01-23,2024-06-19,False
Schedule car service,Medium,Work,2024-09-23,2024-11-05,False
Book flight tickets,Medium,Work,2023-11-02,2024-02-06,False
Write report,Medium,Personal,2023-02-19,2024-04-12,False
Write report,High,Personal,2023-01-13,2023-10-06,True
Join gym session,Medium,Personal,2024-04-24,2024-10-07,True
Read book,Medium,Work,2023-06-23,2024-04-22,True
Attend seminar,Low,Personal,2023-04-23,2024-05-15,True
Complete meeting,Low,Personal,2023-05-04,2024-02-20,True
Go to school,Medium,Work,2023-02-07,2024-03-15,False
Organize desk,Medium,Personal,2023-01-13,2023-04-21,True
Work on project,High,Personal,2023-06-25,2024-07-20,False
Go to bank,Low,Personal,2024-08-07,2024-09-01,True
Take stationary,Low,Personal,2023-07-08,2023-09-25,True
Work on project,Low,Personal,2023-11-14,2024-10-15,True
Take groceries,High,Work,2024-01-05,2024-01-09,True
Call plumber,Medium,Personal,2023-12-23,2024-01-27,True
Attend seminar,High,Work,2024-10-03,2024-11-10,True
Join gym session,High,Work,2023-11-05,2024-06-03,True
Prepare presentation,Medium,Personal,2023-07-04,2023-12-12,False
Prepare presentation,High,Work,2023-04-20,2024-02-12,False
Plan weekend trip,Low,Work,2023-09-03,2024-05-06,False
Visit doctor,Low,Personal,2023-03-06,2024-03-20,False
Work on project,Medium,Work,2023-03-17,2024-10-28,True
Work on project,Low,Work,2023-02-23,2024-05-15,False
Call plumber,High,Personal,2023-01-13,2023-08-01,False
Write report,Low,Personal,2023-03-03,2023-03-05,False
Visit doctor,Low,Work,2023-02-05,2023-05-14,True
Work on project,Low,Personal,2023-10-27,2024-12-27,True
Plan weekend trip,Medium,Work,2023-05-23,2023-08-10,False
Attend seminar,High,Personal,2023-04-10,2024-12-07,False
Go to bank,Medium,Work,2024-06-14,2024-11-09,True
Write report,High,Personal,2023-10-26,2024-06-30,False
Attend seminar,Medium,Personal,2024-10-28,2024-12-19,True
Take stationary,Low,Work,2023-05-02,2023-06-17,True
Organize desk,Medium,Personal,2023-06-21,2024-02-26,False
Renew library membership,Medium,Personal,2023-06-23,2023-12-17,True
Write report,Medium,Personal,2023-07-25,2024-08-13,False
Prepare presentation,Medium,Personal,2023-11-05,2024-09-24,False
Book flight tickets,High,Work,2023-04-27,2024-07-10,False
Take groceries,High,Work,2023-11-26,2024-01-24,True
Read book,High,Work,2023-07-20,2024-04-19,False
Go to school,Low,Work,2024-01-02,2024-04-10,True
Plan weekend trip,Low,Personal,2023-06-27,2024-07-26,True
Complete meeting,Low,Work,2023-09-12,2024-01-15,True
Plan weekend trip,High,Work,2023-07-26,2024-04-30,False
Take stationary,Medium,Personal,2023-04-02,2024-10-10,True
Renew library membership,Low,Work,2023-06-21,2024-11-02,True
Work on project,Medium,Personal,2024-04-18,2024-09-30,True
Prepare presentation,High,Work,2023-01-19,2024-09-09,False
Go to school,High,Work,2024-05-27,2024-10-19,True
Prepare presentation,Low,Personal,2023-12-06,2024-08-18,False
Complete meeting,High,Work,2023-10-16,2023-11-02,False
Visit doctor,Low,Work,2023-02-06,2023-04-28,True
Visit doctor,Medium,Personal,2023-01-09,2023-03-17,True
Go to school,High,Work,2023-02-25,2024-04-20,True
Visit doctor,Medium,Personal,2023-09-27,2024-03-19,False
Schedule car service,High,Personal,2023-11-05,2024-12-30,False
Schedule car service,Low,Personal,2023-12-06,2024-06-13,False
Read book,High,Personal,2024-08-21,2024-11-01,False
Visit doctor,High,Work,2023-07-11,2024-05-07,False
Book flight tickets,Medium,Work,2024-10-20,2024-10-24,False
Attend seminar,Medium,Work,2024-02-28,2024-10-15,True
Write report,High,Work,2023-10-04,2024-07-16,True
Take groceries,Low,Work,2023-07-16,2023-09-29,False
Call plumber,Low,Personal,2024-05-28,2024-09-26,True
Take groceries,Medium,Work,2023-11-27,2024-02-08,True
Send emails,Low,Personal,2023-03-04,2024-01-30,True
Go to school,High,Personal,2024-03-14,2024-04-22,True
Join gym session,High,Personal,2023-05-20,2024-06-06,False
Join gym session,Low,Personal,2023-07-13,2023-10-24,False
Go to bank,Medium,Work,2023-05-14,2023-11-12,False
Join gym session,High,Personal,2023-01-03,2024-01-05,True
Call plumber,Medium,Work,2023-01-01,2023-12-29,False
Go to bank,High,Personal,2024-08-26,2024-11-23,False
Call plumber,Medium,Personal,2023-02-01,2024-10-17,False
Plan weekend trip,Medium,Personal,2023-04-24,2024-01-28,True
Prepare presentation,Low,Work,2024-05-08,2024-09-26,True
Prepare presentation,Medium,Work,2023-01-05,2024-12-24,True
Visit doctor,Low,Work,2024-03-19,2024-06-11,False
Prepare presentation,Low,Personal,2023-03-13,2023-06-17,True
Organize desk,Low,Work,2024-02-05,2024-10-05,True
Visit doctor,Low,Personal,2023-04-04,2024-05-31,False
Renew library membership,High,Work,2023-04-02,2024-08-05,False
Go to bank,High,Work,2023-02-21,2024-05-19,False
Buy birthday gift,High,Personal,2024-01-13,2024-04-07,False
Prepare presentation,Low,Personal,2023-10-12,2024-06-25,True
Book flight tickets,Low,Personal,2023-09-13,2024-12-18,False
Plan weekend trip,High,Work,2023-07-27,2024-08-16,False
Prepare presentation,High,Personal,2023-05-26,2024-06-04,True
Take groceries,Medium,Personal,2023-03-13,2023-04-02,False
Book flight tickets,High,Work,2023-10-26,2024-04-21,True
Plan weekend trip,High,Personal,2023-11-16,2024-09-25,False
Plan weekend trip,Medium,Work,2023-04-24,2024-06-23,True
Go to bank,Low,Work,2023-11-19,2023-12-31,False
Read book,Low,Work,2023-12-16,2024-09-30,False
Buy birthday gift,Low,Personal,2023-03-10,2024-05-19,True
Take groceries,Medium,Work,2024-10-22,2024-11-21,True
Complete meeting,High,Work,2023-02-07,2023-09-02,True
Write report,High,Personal,2023-09-06,2024-06-28,False
Attend seminar,High,Work,2024-06-04,2024-09-01,True
Work on project,Low,Personal,2024-01-18,2024-01-27,True
Plan weekend trip,High,Work,2023-06-25,2024-08-25,False
Book flight tickets,High,Personal,2023-04-20,2023-10-05,False
Prepare presentation,Low,Personal,2024-04-12,2024-11-28,True
Go to school,Low,Work,2023-08-17,2024-12-21,False
Call plumber,High,Work,2023-11-21,2024-04-13,True
Take stationary,Medium,Work,2023-04-25,2024-01-17,False
Take stationary,Low,Work,2023-05-30,2024-11-15,False
Visit doctor,Medium,Work,2023-07-17,2024-03-22,True
Renew library membership,Medium,Personal,2023-09-01,2023-10-21,True
Go to school,Low,Work,2023-12-26,2024-08-27,False
Send emails,High,Work,2024-07-14,2024-08-23,True
Book flight tickets,Medium,Personal,2024-01-19,2024-02-13,False
Join gym session,Medium,Personal,2023-03-16,2023-06-04,True
Organize desk,High,Work,2024-07-20,2024-09-20,False
Book flight tickets,High,Work,2023-09-13,2024-06-27,True
Attend seminar,High,Personal,2023-04-09,2024-08-20,False
Attend seminar,Medium,Work,2023-01-06,2023-07-24,True
Join gym session,High,Work,2023-05-21,2023-08-23,False
Organize desk,Low,Work,2023-06-14,2024-06-05,True
Renew library membership,High,Work,2023-12-25,2024-08-13,True
Buy birthday gift,Medium,Personal,2023-05-12,2024-04-10,True
Read book,Low,Personal,2024-01-10,2024-09-04,True
Write report,High,Work,2024-03-16,2024-08-16,False
Work on project,Medium,Personal,2023-05-22,2024-11-29,False
Renew library membership,Low,Personal,2023-03-26,2023-08-23,False
Take groceries,Low,Work,2023-07-23,2023-11-24,True
Take groceries,High,Personal,2024-09-01,2024-12-26,True
Organize desk,Low,Work,2023-06-24,2024-01-02,True
Prepare presentation,Medium,Personal,2023-07-21,2024-02-29,True
Read book,High,Work,2024-01-12,2024-03-19,True
Write report,High,Personal,2023-06-01,2023-07-03,False
Schedule car service,Low,Personal,2023-03-31,2023-12-14,True
Prepare presentation,Low,Work,2024-09-01,2024-12-18,False
Buy birthday gift,Low,Work,2023-01-21,2024-09-18,True
Read book,High,Work,2023-05-11,2024-02-11,False
Prepare presentation,Low,Personal,2023-07-16,2023-11-25,False
Take stationary,Low,Personal,2023-04-12,2023-12-15,False
Buy birthday gift,High,Work,2024-04-11,2024-04-21,False
Work on project,Low,Personal,2023-10-27,2024-06-26,False
Visit doctor,Low,Work,2024-09-06,2024-11-30,False
Go to school,High,Work,2023-10-19,2024-04-20,True
Renew library membership,Low,Personal,2023-09-06,2024-04-24,True
Complete meeting,Medium,Personal,2023-06-03,2023-06-05,False
Work on project,Medium,Personal,2024-01-18,2024-09-10,True
Go to bank,Low,Personal,2023-04-05,2023-07-27,False
Join gym session,Low,Personal,2023-08-16,2024-03-15,True
Work on project,Medium,Personal,2023-12-12,2024-03-09,True
Organize desk,High,Work,2023-01-05,2023-02-25,True
Read book,Low,Personal,2024-04-06,2024-05-31,False
Call plumber,Low,Personal,2024-03-05,2024-12-09,False
Book flight tickets,High,Work,2023-09-22,2024-06-27,False
Take groceries,High,Work,2023-07-04,2024-12-22,False
Schedule car service,Low,Work,2023-05-15,2024-08-21,True
Buy birthday gift,Low,Work,2023-05-28,2024-12-28,True
Write report,Low,Work,2023-08-05,2024-04-20,False
Buy birthday gift,Medium,Personal,2023-02-26,2024-06-08,True
Take stationary,Medium,Work,2023-01-24,2023-12-23,True
Call plumber,High,Work,2023-01-08,2024-08-04,False
Visit doctor,Medium,Work,2023-05-23,2024-09-02,False
Plan weekend trip,Medium,Work,2023-06-10,2024-01-27,False
Prepare presentation,High,Work,2023-05-21,2024-04-22,True
Go to school,High,Personal,2024-03-13,2024-11-07,True
Call plumber,Low,Work,2023-09-28,2024-03-02,True
Join gym session,High,Work,2023-07-05,2023-11-18,False
Take groceries,Medium,Personal,2024-05-12,2024-06-13,True
Complete meeting,Medium,Personal,2023-03-23,2024-10-18,False
Complete meeting,High,Personal,2023-02-01,2023-12-26,True
Take stationary,Medium,Work,2023-07-18,2024-10-11,True
Visit doctor,High,Personal,2024-05-11,2024-12-28,True
Buy birthday gift,Low,Work,2023-03-03,2024-09-18,True
Take groceries,High,Work,2023-12-19,2024-05-25,False
Go to school,Medium,Work,2023-07-05,2024-11-08,False
Renew library membership,Medium,Personal,2023-03-22,2023-09-28,False
Take stationary,Medium,Personal,2023-07-22,2024-09-23,True
Renew library membership,Low,Work,2024-01-01,2024-05-30,True
Take stationary,Medium,Personal,2024-08-20,2024-10-28,True
Attend seminar,Medium,Personal,2023-07-02,2024-04-02,True
Write report,Low,Personal,2023-06-07,2024-10-13,True
Send emails,Low,Work,2023-08-05,2024-08-13,True
Take stationary,High,Personal,2023-12-26,2024-02-20,True
Book flight tickets,High,Personal,2024-10-27,2024-11-19,True
Attend seminar,High,Work,2023-09-02,2024-05-04,True
Prepare presentation,Low,Personal,2023-06-19,2023-08-20,False
Go to bank,Low,Personal,2024-07-23,2024-12-16,True
Attend seminar,Medium,Work,2023-03-23,2024-03-21,True
Send emails,High,Work,2023-07-24,2023-08-18,True
Attend seminar,High,Personal,2024-01-12,2024-11-05,True
Write report,Medium,Work,2023-01-22,2023-03-19,False
Buy birthday gift,Low,Work,2024-07-31,2024-09-29,False
Organize desk,High,Personal,2023-11-05,2024-02-15,False
Prepare presentation,Medium,Work,2023-12-27,2024-03-30,False
Take groceries,High,Work,2023-06-13,2024-07-31,True
Take stationary,Medium,Work,2024-02-28,2024-09-10,False
Complete meeting,High,Work,2023-07-03,2023-07-30,True
Schedule car service,High,Work,2023-07-18,2024-11-07,True
Prepare presentation,High,Personal,2023-07-28,2023-11-08,False
Write report,Low,Work,2023-07-29,2024-02-06,False
Work on project,Low,Work,2023-01-23,2024-03-19,False
Write report,Low,Work,2023-05-05,2023-10-07,True
Work on project,Low,Work,2023-12-07,2024-11-22,True
Write report,Medium,Personal,2024-01-23,2024-02-22,False
Take stationary,Medium,Work,2024-03-26,2024-12-20,False
Prepare presentation,High,Personal,2023-08-30,2024-12-11,False
Schedule car service,Medium,Personal,2023-12-27,2024-10-01,True
Work on project,Medium,Personal,2023-10-03,2024-03-02,True
Attend seminar,Low,Work,2023-04-07,2023-08-18,True
Take stationary,Low,Work,2023-06-09,2023-08-18,False
Go to school,Low,Work,2023-11-28,2024-06-22,False
Take groceries,Medium,Personal,2023-10-12,2023-12-19,True
Buy birthday gift,Low,Work,2023-07-15,2024-10-18,True
Read book,Medium,Work,2023-09-03,2024-03-03,False
Go to bank,Medium,Personal,2023-01-04,2024-05-02,False
Organize desk,Medium,Personal,2023-05-07,2024-05-01,False
Send emails,High,Personal,2023-02-26,2023-10-12,False
Go to bank,High,Personal,2024-05-24,2024-12-15,True
Schedule car service,Low,Personal,2023-06-21,2023-11-23,False
Go to bank,Medium,Personal,2023-12-10,2024-08-01,False
Prepare presentation,High,Personal,2023-03-04,2023-11-06,True
Plan weekend trip,High,Personal,2023-05-28,2023-10-19,True
Send emails,Low,Personal,2024-09-20,2024-11-26,False
Join gym session,Medium,Work,2023-09-23,2024-09-29,True
Read book,High,Personal,2023-04-10,2024-07-08,True
Complete meeting,Medium,Work,2023-07-05,2024-09-03,False
Book flight tickets,High,Personal,2023-04-17,2024-06-19,False
Read book,High,Personal,2023-03-07,2024-07-04,True
Plan weekend trip,High,Work,2024-03-05,2024-09-08,True
Send emails,Low,Work,2023-10-10,2023-11-23,False
Go to bank,Low,Personal,2023-11-11,2024-08-07,True
Take stationary,High,Personal,2024-01-29,2024-05-08,True
Work on project,Medium,Work,2023-01-24,2024-12-02,False
Go to school,High,Personal,2024-10-08,2024-11-23,True
Send emails,Medium,Work,2023-04-28,2024-12-19,False
Complete meeting,High,Personal,2023-06-05,2024-10-05,True
Send emails,Medium,Personal,2023-11-05,2023-12-24,True
Read book,Low,Work,2023-11-05,2023-12-31,False
Visit doctor,Medium,Work,2023-10-13,2024-08-08,False
Visit doctor,Low,Work,2023-04-21,2024-05-16,False
Take groceries,Low,Personal,2023-08-05,2024-04-06,True
Work on project,Low,Work,2023-04-06,2024-04-02,True
Join gym session,Medium,Personal,2023-06-03,2023-09-28,True
Book flight tickets,High,Personal,2023-10-16,2024-08-31,False
Send emails,Low,Work,2023-07-27,2024-09-05,True
Buy birthday gift,Medium,Personal,2023-04-07,2023-08-05,True
Send emails,Medium,Work,2023-05-18,2024-08-31,True
Go to bank,Medium,Work,2023-05-24,2024-02-02,True
Go to bank,Low,Personal,2024-05-15,2024-07-04,False
Work on project,High,Personal,2023-11-21,2024-08-31,True
Plan weekend trip,Low,Personal,2024-03-12,2024-04-16,False
Attend seminar,Low,Personal,2024-07-12,2024-11-14,True
Plan weekend trip,High,Work,2024-03-26,2024-06-30,True
Go to bank,Medium,Work,2023-07-22,2024-06-27,True
Send emails,High,Personal,2023-03-24,2024-09-18,False
Visit doctor,Low,Work,2023-02-19,2024-07-18,True
Prepare presentation,Low,Personal,2023-03-04,2024-12-14,True
Buy birthday gift,Low,Work,2023-02-12,2024-03-01,True
Go to school,High,Personal,2023-08-25,2024-08-06,False
Go to bank,High,Work,2024-04-08,2024-10-25,True
Plan weekend trip,Medium,Work,2023-01-01,2023-02-24,True
Go to school,High,Work,2023-09-15,2024-10-15,False
Plan weekend trip,Low,Work,2023-07-11,2024-06-17,True
Attend seminar,Medium,Personal,2023-08-11,2023-11-20,False
Buy birthday gift,Medium,Personal,2023-03-11,2023-08-27,True
Book flight tickets,Low,Personal,2023-05-23,2024-05-27,True
Read book,High,Personal,2023-09-02,2024-08-06,True
Read book,High,Work,2023-05-10,2023-10-11,False
Write report,High,Work,2023-10-27,2024-05-02,True
Visit doctor,High,Work,2023-03-26,2024-09-20,True
Visit doctor,Medium,Work,2023-01-26,2024-10-08,True
Go to school,High,Work,2023-01-27,2023-11-17,True
Read book,Low,Work,2023-04-29,2024-09-22,False
Schedule car service,High,Personal,2023-09-02,2024-05-06,True
Buy birthday gift,High,Personal,2024-02-16,2024-08-03,False
Plan weekend trip,High,Personal,2023-01-17,2023-08-08,False
Take stationary,High,Personal,2023-11-26,2024-10-04,True
Send emails,Low,Personal,2023-02-17,2023-10-16,True
Go to school,Medium,Work,2023-07-11,2024-08-15,True
Read book,Low,Personal,2023-06-26,2024-06-01,False
Attend seminar,High,Work,2023-11-01,2024-07-17,True
Buy birthday gift,Medium,Work,2023-08-20,2024-10-07,True
Work on project,High,Work,2023-09-02,2024-03-23,True
Organize desk,High,Work,2023-09-19,2024-08-20,True
Read book,Low,Personal,2023-02-01,2024-08-28,False
Take stationary,High,Work,2023-02-14,2023-12-02,True
Call plumber,Medium,Personal,2023-02-21,2024-04-17,True
Plan weekend trip,High,Personal,2024-09-27,2024-11-13,False
Organize desk,High,Personal,2023-02-01,2024-07-26,True
Schedule car service,Low,Work,2023-06-09,2024-04-22,True
Buy birthday gift,High,Personal,2023-02-23,2024-10-09,True
Read book,Medium,Personal,2023-02-25,2024-09-09,True
Take groceries,Medium,Personal,2023-05-10,2023-05-17,False
Renew library membership,Medium,Personal,2023-04-14,2024-06-15,True
Schedule car service,Low,Personal,2023-09-09,2023-11-13,True
Visit doctor,Low,Personal,2023-07-03,2024-09-09,True
Attend seminar,High,Work,2023-07-25,2024-07-27,True
Plan weekend trip,Medium,Personal,2023-11-01,2024-01-16,True
Visit doctor,Low,Work,2023-03-28,2023-04-06,False
Take groceries,High,Personal,2024-04-21,2024-08-19,True
Go to bank,Medium,Work,2023-03-07,2023-10-02,False
Work on project,Low,Work,2023-02-08,2023-07-13,False
Buy birthday gift,Low,Personal,2023-02-03,2024-02-19,True
Book flight tickets,Low,Personal,2023-02-15,2024-10-29,True
Go to school,Medium,Personal,2023-10-31,2023-11-05,True
Send emails,Low,Work,2023-10-16,2023-11-26,False
Organize desk,High,Work,2023-01-06,2024-05-06,True
Send emails,Low,Work,2023-01-25,2023-12-20,False
Book flight tickets,High,Work,2023-12-07,2024-05-10,False
Visit doctor,High,Personal,2023-04-03,2024-02-13,True
Take groceries,High,Work,2023-04-24,2023-10-16,True
Plan weekend trip,Medium,Personal,2024-03-12,2024-03-16,True
Go to school,High,Work,2023-12-03,2024-02-19,False
Take groceries,Low,Personal,2023-03-14,2024-07-02,False
Go to bank,High,Work,2023-02-22,2024-10-02,True
Renew library membership,High,Work,2023-08-15,2024-11-21,True
Work on project,Medium,Personal,2024-02-06,2024-08-09,True
Complete meeting,High,Personal,2023-08-06,2023-12-08,False
Call plumber,Medium,Work,2023-02-23,2023-06-17,False
Plan weekend trip,Low,Personal,2023-05-05,2024-01-30,False
Organize desk,Medium,Personal,2023-07-22,2024-04-06,False
Take stationary,Medium,Work,2023-02-22,2023-11-15,False
Buy birthday gift,High,Personal,2023-10-31,2024-02-08,False
Take stationary,Low,Personal,2023-03-29,2023-12-23,True
Go to bank,Medium,Personal,2024-10-12,2024-12-13,True
Organize desk,Low,Personal,2023-07-25,2024-09-26,False
Plan weekend trip,Medium,Work,2023-04-20,2023-09-18,True
Attend seminar,Low,Personal,2023-04-01,2023-05-24,False
Complete meeting,Low,Work,2023-02-20,2024-09-27,False
Book flight tickets,Low,Personal,2023-07-15,2024-07-21,False
Visit doctor,Low,Work,2023-07-07,2024-09-28,True
Renew library membership,Low,Work,2023-01-07,2023-03-12,False
Renew library membership,Medium,Work,2023-09-01,2024-06-11,False
Work on project,Low,Work,2023-03-30,2023-05-29,False
Take stationary,Low,Personal,2023-07-28,2024-05-04,False
Read book,Low,Personal,2023-03-16,2024-01-22,False
Book flight tickets,High,Personal,2023-08-22,2023-10-03,True
Visit doctor,Medium,Personal,2023-06-27,2024-04-01,False
Attend seminar,Medium,Personal,2023-03-30,2024-05-24,True
Schedule car service,High,Work,2024-04-19,2024-07-07,True
Renew library membership,High,Work,2024-09-11,2024-12-06,True
Work on project,Medium,Work,2023-12-16,2024-06-09,False
Take stationary,Low,Work,2023-04-22,2024-11-18,True
Buy birthday gift,Medium,Work,2023-08-12,2023-10-10,True
Take groceries,Medium,Work,2023-07-28,2024-01-20,True
Visit doctor,High,Personal,2024-02-07,2024-06-27,False
Write report,Medium,Personal,2023-08-23,2024-06-04,True
Send emails,Low,Work,2023-10-26,2024-02-18,False
Prepare presentation,High,Work,2023-09-20,2024-08-31,True
Take groceries,High,Work,2023-07-30,2023-08-20,False
Visit doctor,Medium,Personal,2023-08-30,2024-12-02,True
Write report,Low,Work,2024-02-21,2024-05-22,False
Go to bank,High,Personal,2023-08-06,2024-05-10,False
Take stationary,Low,Work,2023-05-21,2023-06-10,True
Buy birthday gift,Low,Personal,2023-04-17,2024-02-11,True
Buy birthday gift,High,Personal,2023-08-30,2024-05-23,False
Write report,Low,Work,2024-09-11,2024-12-06,True
Work on project,Medium,Work,2023-03-01,2024-11-30,False
Work on project,High,Work,2023-12-01,2024-11-30,False
Plan weekend trip,Low,Work,2023-03-26,2024-05-03,False
Organize desk,High,Work,2023-01-31,2024-05-22,False
Take groceries,Low,Work,2024-01-12,2024-05-23,True
Renew library membership,Low,Work,2023-06-24,2023-11-09,True
Renew library membership,Low,Work,2023-05-06,2024-07-28,True
Work on project,Low,Work,2023-11-22,2024-06-13,True
Go to bank,Medium,Personal,2024-03-20,2024-05-05,True
Go to bank,High,Personal,2023-09-07,2024-01-24,True
Prepare presentation,High,Personal,2023-05-31,2023-09-04,False
Organize desk,Medium,Work,2024-02-28,2024-03-19,True
Renew library membership,Medium,Personal,2023-05-30,2024-12-02,True
Visit doctor,Low,Work,2023-07-28,2023-11-14,False
Visit doctor,High,Work,2023-12-10,2024-08-04,False
Schedule car service,Medium,Work,2023-12-16,2024-05-29,False
Send emails,Medium,Work,2023-03-07,2024-02-17,True
Go to school,Medium,Work,2023-12-04,2024-09-08,False
Book flight tickets,Medium,Personal,2023-08-23,2023-08-28,True
Attend seminar,Low,Personal,2023-03-29,2023-05-04,False
Prepare presentation,Medium,Personal,2023-11-22,2024-01-05,False
Write report,High,Work,2023-06-25,2023-06-29,False
Go to school,Low,Work,2023-01-22,2023-09-13,True
Schedule car service,High,Work,2023-06-30,2023-07-25,True
Join gym session,Low,Personal,2023-01-02,2024-09-29,True
Organize desk,Low,Work,2023-06-07,2024-10-23,False
Organize desk,High,Work,2024-01-06,2024-10-08,True
Buy birthday gift,High,Personal,2024-04-16,2024-09-30,True
Write report,High,Personal,2023-03-24,2024-04-27,True
Book flight tickets,Low,Personal,2024-03-05,2024-11-09,True
Take stationary,Low,Work,2023-06-10,2024-02-29,False
Join gym session,Medium,Personal,2023-01-12,2024-05-26,True
Visit doctor,Medium,Work,2023-11-06,2024-04-14,True
Prepare presentation,Low,Work,2023-01-29,2023-04-08,True
Visit doctor,Medium,Personal,2023-06-13,2024-11-02,False
Renew library membership,Medium,Work,2023-03-24,2023-09-20,True
Visit doctor,Low,Work,2023-03-07,2023-12-09,False
Book flight tickets,Low,Work,2023-03-19,2023-11-29,False
Plan weekend trip,High,Work,2023-04-28,2024-05-17,True
Buy birthday gift,High,Work,2023-01-08,2024-10-07,True
Schedule car service,Medium,Work,2023-04-14,2024-05-26,False
Visit doctor,Low,Work,2024-12-22,2024-12-29,True
Go to bank,Medium,Work,2023-10-25,2024-01-17,False
Plan weekend trip,High,Work,2023-03-08,2024-10-28,False
Work on project,High,Personal,2024-02-07,2024-11-26,True
Attend seminar,Medium,Work,2023-04-28,2024-09-05,True
Take groceries,Medium,Work,2023-03-12,2023-07-23,False
Prepare presentation,Medium,Personal,2024-02-29,2024-08-19,False
Complete meeting,Medium,Personal,2023-11-20,2024-05-17,False
Plan weekend trip,Medium,Personal,2023-09-02,2024-11-20,True
Join gym session,Medium,Personal,2023-04-17,2023-11-04,True
Send emails,Low,Work,2023-11-28,2024-05-03,False
Write report,Medium,Work,2024-05-14,2024-08-30,True
Read book,Low,Work,2023-02-19,2023-04-16,False
Write report,Medium,Work,2023-09-25,2024-03-28,False
Call plumber,High,Work,2023-08-04,2023-11-11,True
Send emails,High,Work,2024-04-26,2024-06-30,False
Buy birthday gift,Low,Personal,2023-10-13,2024-03-30,False
Go to school,High,Work,2024-08-28,2024-11-24,False
Schedule car service,Medium,Personal,2023-12-29,2024-07-07,True
Take stationary,Low,Work,2023-07-25,2024-03-13,True
Prepare presentation,High,Work,2023-02-28,2023-05-23,False
Plan weekend trip,High,Personal,2023-05-06,2024-03-10,True
Book flight tickets,High,Personal,2024-06-08,2024-09-25,True
Prepare presentation,Medium,Work,2024-06-08,2024-06-10,False
Plan weekend trip,High,Work,2024-05-31,2024-10-14,False
Work on project,High,Personal,2024-07-29,2024-12-15,True
Join gym session,High,Personal,2023-01-30,2024-08-16,True
Go to school,Low,Work,2024-06-25,2024-12-20,False
Plan weekend trip,Low,Personal,2023-10-31,2024-08-25,False
Book flight tickets,Medium,Work,2023-04-29,2023-12-16,True
Plan weekend trip,Low,Personal,2023-05-03,2023-08-12,False
Join gym session,Medium,Work,2023-06-07,2024-10-02,False
Join gym session,Low,Personal,2023-06-10,2024-11-29,False
Work on project,High,Work,2023-04-15,2024-09-02,False
Plan weekend trip,High,Personal,2023-04-29,2024-09-20,False
Buy birthday gift,Medium,Personal,2023-10-30,2024-04-03,True
Join gym session,Medium,Work,2023-04-19,2024-09-21,True
Write report,Medium,Personal,2024-04-07,2024-05-03,False
Buy birthday gift,Low,Work,2024-03-22,2024-08-26,True
Take groceries,High,Work,2023-04-17,2023-12-11,True
Visit doctor,High,Personal,2023-09-09,2024-02-12,True
Go to school,Low,Personal,2023-12-05,2024-02-20,False
Schedule car service,High,Personal,2023-08-08,2024-09-24,True
Call plumber,Medium,Personal,2023-08-02,2024-09-16,True
Write report,Low,Work,2023-06-09,2023-09-05,False
Schedule car service,High,Personal,2023-09-19,2024-02-04,False
Attend seminar,Low,Personal,2024-04-12,2024-10-17,True
Write report,Medium,Work,2023-03-15,2024-03-25,False
